Phage Name,Genome Size,TEM Image,Head Length,Head Width,Tail Length,Gel Estimation
Abt2graduatex2,57385,https://phagesdb.org/media/emPics/Abt2graduatex2_EMPic.jpg,90nm,50nm,200nm,
Microdon,53356,https://phagesdb.org/media/emPics/Microdon_EMPic.jpg,60nm,60nm,200nm,
Nanodon,50082,https://phagesdb.org/media/emPics/Nanodon_EMPic.jpg,60nm,60nm,230nm,
ClubPenguin,56205,https://phagesdb.org/media/emPics/ClubPenguin_EMPic.tif,53nm,54nm,250nm,29kb
Enygma,133969,https://phagesdb.org/media/emPics/Enygma_EMPic.tif,70nm,70nm,250nm,
Galactica,81216,https://phagesdb.org/media/emPics/Galactica_EMPic.tif,70nm,70nm,190nm,37kb
Heather,41238,https://phagesdb.org/media/emPics/Heather_EMPic.jpg,56nm,56nm,115m,78.5kb
KimJongPhill,82521,https://phagesdb.org/media/emPics/KimJongPhill_EMPic.png,60nm,60nm,200nm,
MindFlayer,130258,https://phagesdb.org/media/emPics/MindFlayer_EMPic.jpg,72nm,67nm,330nm,39kb
RemusLoopin,41376,https://phagesdb.org/media/emPics/RemusLoopin_EMPic.jpg,45nm,44nm,110nm,52kb
RosaAsantewaa,42730,https://phagesdb.org/media/emPics/RosaAsantewaa_EMPic.jpg,40nm,40nm,210nm,47kb
TunaTartare,130929,https://phagesdb.org/media/emPics/TunaTartare_EMPic.tif,80nm,80nm,350nm,
CricKo,57623,https://phagesdb.org/media/emPics/CricKo_EMPic.jpg,52nm,53nm,250nm,60.7kb
HotFries,43699,https://phagesdb.org/media/emPics/HotFries_EMPic.jpg,50nm,60nm,230nm,
IchabodCrane,130730,https://phagesdb.org/media/emPics/IchabodCrane_EMPic_zaoWijZ.png,65nm,64nm,300nm,147kb
Kela,185323,https://phagesdb.org/media/emPics/Kela_EMPic.jpg,250nm,40nm,210nm,48.5kb
Moozy,43545,https://phagesdb.org/media/emPics/Moozy_EMPic.jpg,60nm,50nm,240nm,
PherryCruz,43736,https://phagesdb.org/media/emPics/PherryCruz_EMPic.png,47nm,47nm,220nm,62kb
Rainydai,57623,https://phagesdb.org/media/emPics/Rainydai_EMPic.jpg,60nm,60nm,220nm,
RavenPuff,43709,https://phagesdb.org/media/emPics/RavenPuff_EMPic.jpg,50nm,60nm,250nm,
Scap1,43060,https://phagesdb.org/media/emPics/Scap1_EMPic.jpg,50nm,60nm,250nm,
SendItCS,55993,https://phagesdb.org/media/emPics/SendItCS_EMPic.jpg,60nm,60nm,252nm,
Thiqqums,57624,https://phagesdb.org/media/emPics/Sec04Grp10_01.tif,43nm,44nm,200nm,100kb
TurkishDelight,93606,https://phagesdb.org/media/emPics/TurkishDelight_EMPic.tif,110nm,40nm,200nm,69.5kb
Alsaber,48803,https://phagesdb.org/media/emPics/Alsaber_EMPic_7w5K9nK.jpg,60nm,60nm,210nm,
Rowa,42890,https://phagesdb.org/media/emPics/Rowa_EMPic_h1BrzIx.jpg,50nm,50nm,150nm,
Asten,51571,https://phagesdb.org/media/emPics/Asten_EMPic.jpg,53nm,50nm,152nm,
BayC,57243,https://phagesdb.org/media/emPics/BayC_EMPic_vVJmveT.jpg,90nm,60nm,170nm,
Crosby,54036,https://phagesdb.org/media/emPics/Crosby_EMPic.jpg,60nm,60nm,200nm,
EGole,135653,https://phagesdb.org/media/emPics/EGole_EMPic.jpeg,70nm,70nm,300nm,
Euratis,41403,https://phagesdb.org/media/emPics/Euratis_EMPic_p5kxSBw.jpg,60nm,60nm,270nm,
Gibson,69439,https://phagesdb.org/media/emPics/Gibson_EMPic.jpeg,75nm,78nm,100nm,
Henoccus,55137,https://phagesdb.org/media/emPics/Henoccus_EMPic.jpg,50nm,50nm,220nm,
Izzy,50113,https://phagesdb.org/media/emPics/Izzy_EMPic.jpg,60nm,60m,100nm,
LazerLemon,54798,https://phagesdb.org/media/emPics/LazerLemon_EMPic.jpeg,63nm,60nm,200nm,
