,Phage Name,Genome Size,TEM Image,School,Species
0,Alsaber,48803,https://phagesdb.org/media/emPics/Alsaber_EMPic_7w5K9nK.jpg,UNTD,azureus
1,Rowa,42890,https://phagesdb.org/media/emPics/Rowa_EMPic_h1BrzIx.jpg,UNTD,azureus
2,Circinus,126383,https://phagesdb.org/media/emPics/Circinus_EMPic.TIF,WUSL,griseofuscus
3,Gilson,128338,https://phagesdb.org/media/emPics/Gilson_EMPic.TIF,WUSL,griseofuscus
4,Kradal,186383,https://phagesdb.org/media/emPics/Kradal_EMPic.TIF,WUSL,griseofuscus
5,Abt2graduatex2,57385,https://phagesdb.org/media/emPics/Abt2graduatex2_EMPic.jpg,UMBC,griseus
6,Asten,51571,https://phagesdb.org/media/emPics/Asten_EMPic.jpg,UNTD,griseus
7,BayC,57243,https://phagesdb.org/media/emPics/BayC_EMPic_vVJmveT.jpg,UNTD,griseus
8,Birchlyn,126524,https://phagesdb.org/media/emPics/Birchlyn_EMPic.jpg,LEHI,griseus
9,Braelyn,131234,https://phagesdb.org/media/emPics/Braelyn_EMPic_D2huS0A.tiff,UEVN,griseus
10,Crosby,54036,https://phagesdb.org/media/emPics/Crosby_EMPic.jpg,UNTD,griseus
11,Daubenski,133090,https://phagesdb.org/media/emPics/Daubenski_EMPic.TIF,UEVN,griseus
12,DrGrey,56076,https://phagesdb.org/media/emPics/DrGrey_EMPic.PNG,UNTD,griseus
13,EGole,135653,https://phagesdb.org/media/emPics/EGole_EMPic.jpeg,UNTD,griseus
14,Esketit,54664,https://phagesdb.org/media/emPics/Esketit_EMPic.TIF,UEVN,griseus
15,Euratis,41403,https://phagesdb.org/media/emPics/Euratis_EMPic_p5kxSBw.jpg,UNTD,griseus
16,Evy,132977,https://phagesdb.org/media/emPics/Evy_EMPic.TIF,UEVN,griseus
17,Gibson,69439,https://phagesdb.org/media/emPics/Gibson_EMPic.jpeg,UNTD,griseus
18,Henoccus,55137,https://phagesdb.org/media/emPics/Henoccus_EMPic.jpg,UNTD,griseus
19,Izzy,50113,https://phagesdb.org/media/emPics/Izzy_EMPic.jpg,UNTD,griseus
20,LazerLemon,54798,https://phagesdb.org/media/emPics/LazerLemon_EMPic.jpeg,UNTD,griseus
